SAMPLE	VAF_MAD	VAF_median	N_mutations	MATH_score	N_Mutations_TMB	TMB
ROP-1-ExC85-xgenV2_S7	0.169513071	0.244315	292	69.3829977692733	385	11.28
ROP-100-ExC85-xgenV2_S67	0.17427963	0.4288	150	40.6435704291045	205	6.01
ROP-102-ExC85-xgenV2_S68	0.185821671	0.381865	150	48.6616136592775	217	6.36
ROP-103-ExC85-xgenV2_S69	0.171966774	0.39067	180	44.0184232216449	251	7.35
ROP-105-ExC85-xgenV2_S70	0.089637996	0.4552	93	19.6920026362039	124	3.63
ROP-107-ExC85-xgenV2_S71	0.043669983	0.209845	4610	20.8105901975268	5801	169.98
ROP-108-ExC85-xgenV2_S72	0.160446972	0.439635	186	36.495495581562	270	7.91
ROP-109-ExC85-xgenV2_S73	0.223709514	0.297405	164	75.2204952842084	226	6.62
ROP-11-ExC85-xgenV2_S8	0.200795931	0.324935	242	61.7957225291212	335	9.82
ROP-110-ExC85-xgenV2_S74	0.12861555	0.40704	189	31.5977668042453	256	7.5
ROP-112-ExC85-xgenV2_S75	0.268691598	0.316655	152	84.8531044827967	205	6.01
ROP-113-ExC85-xgenV2_S76	0.119675472	0.45175	109	26.4915267293857	147	4.31
ROP-114-ExC85-xgenV2_S77	0.157400229	0.377755	144	41.6672787918095	202	5.92
ROP-115-ExC85-xgenV2_S78	0.113166858	0.43214	133	26.1875452399685	180	5.27
ROP-117-ExC85-xgenV2_S80	0.24840963	0.432205	202	57.4749551717356	297	8.7
ROP-119-ExC85-xgenV2_S82	0.195614244	0.38732	173	50.5045554063823	240	7.03
ROP-12-ExC85-xgenV2_S9	0.188305026	0.333145	152	56.5234435456033	208	6.09
ROP-128-ExC85-xgenV2_S90	0.043833069	0.48171	102	9.09947250420378	159	4.66
ROP-129-ExC85-xgenV2_S91	0.0985780739999999	0.44062	160	22.3725827243429	218	6.39
ROP-133-ExC85-xgenV2_S95	0.078266454	0.17668	407	44.2984231378764	528	15.47
ROP-14-ExC85-xgenV2_S10	0.205369752	0.34247	177	59.9672239904225	240	7.03
ROP-15-ExC85-xgenV2_S11	0.211804236	0.35714	191	59.3056605252842	258	7.56
ROP-16-ExC85-xgenV2_S12	0.118726608	0.196255	230	60.4960933479402	313	9.17
ROP-17-ExC85-xgenV2_S13	0.258135486	0.3142	157	82.1564245703374	213	6.24
ROP-18-ExC85-xgenV2_S14	0.152700387	0.351795	202	43.4060708651345	285	8.35
ROP-19-ExC85-xgenV2_S15	0.186815013	0.304005	234	61.4512961957863	323	9.46
ROP-20-ExC85-xgenV2_S16	0.222768063	0.39419	162	56.5128651158071	218	6.39
ROP-24-ExC85-xgenV2_S18	0.059956344	0.46667	103	12.8476962307412	141	4.13
