Samples,Tumor_Mutational_Burden
ROP.1.ExC85.xgenV2_S7,0.4
ROP.100.ExC85.xgenV2_S67,0.1
ROP.102.ExC85.xgenV2_S68,0.1
ROP.103.ExC85.xgenV2_S69,0.1
ROP.105.ExC85.xgenV2_S70,0.1
ROP.107.ExC85.xgenV2_S71,0.4
ROP.108.ExC85.xgenV2_S72,0
ROP.109.ExC85.xgenV2_S73,0.1
ROP.11.ExC85.xgenV2_S8,0.1
ROP.110.ExC85.xgenV2_S74,0.1
ROP.112.ExC85.xgenV2_S75,0.1
ROP.113.ExC85.xgenV2_S76,0
ROP.114.ExC85.xgenV2_S77,0.1
ROP.115.ExC85.xgenV2_S78,0.1
ROP.117.ExC85.xgenV2_S80,0.1
ROP.119.ExC85.xgenV2_S82,0.1
ROP.12.ExC85.xgenV2_S9,0.1
ROP.128.ExC85.xgenV2_S90,0
ROP.129.ExC85.xgenV2_S91,0.2
ROP.133.ExC85.xgenV2_S95,0.1
ROP.14.ExC85.xgenV2_S10,0.2
ROP.15.ExC85.xgenV2_S11,0.1
ROP.16.ExC85.xgenV2_S12,0.4
ROP.17.ExC85.xgenV2_S13,0.4
ROP.18.ExC85.xgenV2_S14,0.1
ROP.19.ExC85.xgenV2_S15,0.1
ROP.20.ExC85.xgenV2_S16,0.1
ROP.24.ExC85.xgenV2_S18,0.2
ROP.32.ExC85.xgenV2_S23,0.1
ROP.33.ExC85.xgenV2_S24,0.1
ROP.34.ExC85.xgenV2_S25,0.1
ROP.36.ExC85.xgenV2_S26,0.3
ROP.37.ExC85.xgenV2_S27,0.1
ROP.38.ExC85.xgenV2_S28,0.2
ROP.42.ExC85.xgenV2_S29,0.1
ROP.44.ExC85.xgenV2_S30,0.3
ROP.45.ExC85.xgenV2_S31,0.2
ROP.46.ExC85.xgenV2_S32,0.2
ROP.47.ExC85.xgenV2_S33,0.3
ROP.50.ExC85.xgenV2_S34,0.1
ROP.51.ExC85.xgenV2_S35,0.1
ROP.53.ExC85.xgenV2_S36,0.2
ROP.54.ExC85.xgenV2_S37,0.1
ROP.56.ExC85.xgenV2_S38,0.3
ROP.57.ExC85.xgenV2_S39,0.1
ROP.58.ExC85.xgenV2_S40,0.1
ROP.59.ExC85.xgenV2_S41,0.1
ROP.60.ExC85.xgenV2_S42,0.1
ROP.61.ExC85.xgenV2_S43,0.1
ROP.65.ExC85.xgenV2_S44,0.5
ROP.68.ExC85.xgenV2_S45,0.3
ROP.69.ExC85.xgenV2_S46,0.2
ROP.70.ExC85.xgenV2_S47,0.1
ROP.71.ExC85.xgenV2_S48,0
ROP.73.ExC85.xgenV2_S49,0.1
ROP.75.ExC85.xgenV2_S50,0.2
ROP.76.ExC85.xgenV2_S51,0.1
ROP.78.ExC85.xgenV2_S52,0.1
ROP.81.ExC85.xgenV2_S53,0
ROP.83.ExC85.xgenV2_S54,0.5
ROP.85.ExC85.xgenV2_S55,0.1
ROP.86.ExC85.xgenV2_S56,0.1
ROP.89.ExC85.xgenV2_S57,0.2
ROP.90.ExC85.xgenV2_S58,0.2
ROP.92.ExC85.xgenV2_S60,0.3
ROP.93.ExC85.xgenV2_S61,0
ROP.94.ExC85.xgenV2_S62,0.1
ROP.95.ExC85.xgenV2_S63,0.2
ROP.96.ExC85.xgenV2_S64,0.2
ROP.97.ExC85.xgenV2_S65,0.3
ROP.98.ExC85.xgenV2_S66,0.2
Median,0.1
