,Total.Mutations,Cosine.Similarity,L1.Norm,L1_Norm_.,L2.Norm,L2_Norm_.,KL.Divergence,Correlation
ROP-1-ExC85-xgenV2_S7,34,0.645,44.469,130.791%,10.04,90.162%,1.97132,0.606
ROP-100-ExC85-xgenV2_S67,2,0.81,2.864,143.2%,1.054,74.529%,1.25907,0.836
ROP-102-ExC85-xgenV2_S68,10,0.742,10.646,106.46%,2.57,68.686%,1.22114,0.719
ROP-103-ExC85-xgenV2_S69,14,0.647,16.114,115.1%,3.58,80.051%,1.72573,0.594
ROP-105-ExC85-xgenV2_S70,5,0.253,8.803,176.06%,3.377,101.82%,2.59638,0.218
ROP-107-ExC85-xgenV2_S71,24,0.989,12.85,53.542%,5.08,29.527%,2.83426,0.989
ROP-108-ExC85-xgenV2_S72,6,0.63,6.847,114.117%,2.263,80.009%,4.06686,0.605
ROP-109-ExC85-xgenV2_S73,15,0.811,12.835,85.567%,2.55,58.501%,0.92622,0.775
ROP-11-ExC85-xgenV2_S8,11,0.428,16.864,153.309%,4.318,119.76%,2.49044,0.37
ROP-110-ExC85-xgenV2_S74,11,0.67,12.742,115.836%,2.68,74.33%,1.21667,0.616
ROP-112-ExC85-xgenV2_S75,4,0.47,6.015,150.375%,1.769,88.45%,2.61228,0.427
ROP-113-ExC85-xgenV2_S76,4,0.639,4.651,116.275%,1.884,76.914%,1.70354,0.624
ROP-114-ExC85-xgenV2_S77,3,0.545,4.4,146.667%,1.456,84.062%,1.69697,0.521
ROP-115-ExC85-xgenV2_S78,1,0.468,1.541,154.1%,0.884,88.4%,1.4728,0.458
ROP-117-ExC85-xgenV2_S80,4,0.796,3.827,95.675%,1.243,62.15%,0.83707,0.786
ROP-119-ExC85-xgenV2_S82,2,0.877,2.12,106.0%,0.833,58.902%,0.7582,0.88
ROP-12-ExC85-xgenV2_S9,8,0.596,9.521,119.013%,2.288,80.893%,1.45589,0.537
ROP-128-ExC85-xgenV2_S90,1,0.468,1.541,154.1%,0.884,88.4%,1.4728,0.458
ROP-129-ExC85-xgenV2_S91,10,0.323,14.378,143.78%,4.993,101.919%,4.82711,0.272
ROP-133-ExC85-xgenV2_S95,10,0.67,12.082,120.82%,4.016,85.621%,1.78283,0.653
ROP-14-ExC85-xgenV2_S10,7,0.606,9.394,134.2%,2.402,80.067%,1.96593,0.569
ROP-15-ExC85-xgenV2_S11,11,0.536,14.106,128.236%,3.484,89.956%,2.49704,0.477
