,Total.Mutations,Cosine.Similarity,L1.Norm,L1_Norm_.,L2.Norm,L2_Norm_.,KL.Divergence,Correlation
ROP-1-ExC85-xgenV2_S7,364,0.967,125.494,34.476%,17.313,25.729%,0.15577,0.952
ROP-100-ExC85-xgenV2_S67,207,0.955,84.653,40.895%,11.858,29.917%,0.22041,0.937
ROP-102-ExC85-xgenV2_S68,210,0.946,99.354,47.311%,14.109,34.159%,0.31337,0.927
ROP-103-ExC85-xgenV2_S69,241,0.956,105.476,43.766%,13.723,29.548%,0.23621,0.94
ROP-105-ExC85-xgenV2_S70,121,0.851,81.251,67.15%,11.628,52.691%,0.44431,0.774
ROP-107-ExC85-xgenV2_S71,5789,0.993,1124.716,19.429%,185.92,11.57%,0.05768,0.992
ROP-108-ExC85-xgenV2_S72,265,0.963,98.979,37.351%,14.04,27.065%,0.16788,0.949
ROP-109-ExC85-xgenV2_S73,212,0.961,88.321,41.661%,13.518,28.729%,0.19752,0.953
ROP-11-ExC85-xgenV2_S8,326,0.97,116.055,35.6%,17.632,25.746%,0.16631,0.962
ROP-110-ExC85-xgenV2_S74,247,0.973,100.944,40.868%,13.88,23.352%,0.2411,0.967
ROP-112-ExC85-xgenV2_S75,205,0.953,94.795,46.241%,12.049,30.555%,0.27738,0.934
ROP-113-ExC85-xgenV2_S76,144,0.897,75.175,52.205%,10.318,44.903%,0.32987,0.823
ROP-114-ExC85-xgenV2_S77,202,0.97,73.939,36.603%,10.087,24.168%,0.18291,0.961
ROP-115-ExC85-xgenV2_S78,182,0.932,89.132,48.974%,12.586,36.212%,0.31299,0.904
ROP-117-ExC85-xgenV2_S80,295,0.943,124.892,42.336%,16.431,33.617%,0.19335,0.907
ROP-119-ExC85-xgenV2_S82,242,0.945,108.417,44.8%,14.185,32.611%,0.22211,0.918
ROP-12-ExC85-xgenV2_S9,204,0.959,87.517,42.9%,11.758,28.204%,0.23862,0.946
ROP-128-ExC85-xgenV2_S90,159,0.901,80.746,50.784%,11.609,43.294%,0.31556,0.839
ROP-129-ExC85-xgenV2_S91,212,0.952,88.906,41.937%,13.887,32.131%,0.24056,0.938
ROP-133-ExC85-xgenV2_S95,520,0.984,153.209,29.463%,20.438,17.982%,0.10258,0.98
ROP-14-ExC85-xgenV2_S10,238,0.959,101.72,42.739%,13.546,28.583%,0.24929,0.944
ROP-15-ExC85-xgenV2_S11,249,0.948,100.227,40.252%,14.034,32.307%,0.19975,0.92
ROP-16-ExC85-xgenV2_S12,269,0.891,132.986,49.437%,18.204,45.725%,0.25905,0.782
ROP-17-ExC85-xgenV2_S13,198,0.929,87.677,44.281%,11.996,36.95%,0.23533,0.882
ROP-18-ExC85-xgenV2_S14,274,0.955,116.177,42.4%,16.189,30.093%,0.21637,0.938
ROP-19-ExC85-xgenV2_S15,307,0.955,110.906,36.126%,14.901,29.952%,0.15597,0.924
ROP-20-ExC85-xgenV2_S16,214,0.936,98.335,45.951%,14.357,35.366%,0.23974,0.909
ROP-24-ExC85-xgenV2_S18,143,0.923,72.43,50.65%,10.435,38.648%,0.32144,0.889
ROP-32-ExC85-xgenV2_S23,239,0.956,91.18,38.151%,12.038,29.396%,0.18458,0.931
ROP-33-ExC85-xgenV2_S24,268,0.943,111.261,41.515%,16.367,33.677%,0.18555,0.916
ROP-34-ExC85-xgenV2_S25,149,0.932,67.294,45.164%,9.255,36.385%,0.252,0.892
ROP-36-ExC85-xgenV2_S26,235,0.941,107.836,45.888%,14.729,34.707%,0.24519,0.914
ROP-37-ExC85-xgenV2_S27,238,0.966,101.793,42.77%,14.606,26.107%,0.2154,0.958
ROP-38-ExC85-xgenV2_S28,207,0.953,89.718,43.342%,12.207,30.357%,0.23533,0.934
ROP-42-ExC85-xgenV2_S29,158,0.968,69.835,44.199%,9.555,25.145%,0.29057,0.961
ROP-44-ExC85-xgenV2_S30,249,0.948,95.266,38.259%,13.207,32.117%,0.1895,0.915
ROP-45-ExC85-xgenV2_S31,285,0.933,124.566,43.707%,17.874,36.432%,0.20778,0.896
ROP-46-ExC85-xgenV2_S32,276,0.944,111.484,40.393%,14.778,33.397%,0.18177,0.906
ROP-47-ExC85-xgenV2_S33,222,0.955,90.022,40.55%,11.779,29.671%,0.21139,0.933
ROP-50-ExC85-xgenV2_S34,77,0.806,60.352,78.379%,8.397,59.228%,0.5489,0.703
ROP-51-ExC85-xgenV2_S35,274,0.952,122.622,44.753%,18.154,31.043%,0.2343,0.938
ROP-53-ExC85-xgenV2_S36,311,0.942,127.092,40.866%,16.885,33.723%,0.1835,0.901
ROP-54-ExC85-xgenV2_S37,281,0.965,115.437,41.081%,15.592,26.975%,0.19735,0.954
ROP-56-ExC85-xgenV2_S38,267,0.926,126.41,47.345%,18.267,38.114%,0.25468,0.89
ROP-57-ExC85-xgenV2_S39,965,0.992,282.138,29.237%,46.676,13.64%,0.16119,0.991
ROP-58-ExC85-xgenV2_S40,256,0.945,111.614,43.599%,14.735,32.981%,0.22096,0.915
ROP-59-ExC85-xgenV2_S41,200,0.938,94.499,47.25%,13.232,34.677%,0.25567,0.912
ROP-60-ExC85-xgenV2_S42,266,0.953,110.176,41.42%,16.075,30.565%,0.20768,0.936
ROP-61-ExC85-xgenV2_S43,118,0.941,63.867,54.125%,8.726,34.017%,0.33649,0.923
ROP-65-ExC85-xgenV2_S44,220,0.885,114.777,52.171%,14.789,47.831%,0.27763,0.756
ROP-68-ExC85-xgenV2_S45,239,0.942,106.84,44.703%,14.612,33.691%,0.23396,0.914
ROP-69-ExC85-xgenV2_S46,256,0.945,101.915,39.811%,14.182,33.261%,0.20055,0.913
ROP-70-ExC85-xgenV2_S47,234,0.959,95.894,40.98%,12.946,28.25%,0.20079,0.944
ROP-71-ExC85-xgenV2_S48,121,0.895,77.387,63.956%,10.436,44.868%,0.41141,0.851
ROP-73-ExC85-xgenV2_S49,215,0.947,97.437,45.32%,12.767,32.844%,0.23653,0.922
ROP-75-ExC85-xgenV2_S50,228,0.972,84.615,37.112%,11.235,23.498%,0.19759,0.964
ROP-76-ExC85-xgenV2_S51,200,0.948,97.825,48.912%,12.612,32.055%,0.26163,0.928
ROP-78-ExC85-xgenV2_S52,254,0.975,100.026,39.38%,13.679,22.971%,0.22521,0.97
ROP-81-ExC85-xgenV2_S53,22,0.865,19.582,89.009%,4.194,50.128%,1.03212,0.854
ROP-83-ExC85-xgenV2_S54,8506,0.999,1037.433,12.196%,158.688,5.434%,0.03699,0.998
ROP-85-ExC85-xgenV2_S55,219,0.967,91.2,41.644%,12.335,27.384%,0.20339,0.958
