SAMPLE	N_Mutations_TMB	TMB
ROP-1-ExC85-xgenV2_S7	385	11.28
ROP-100-ExC85-xgenV2_S67	205	6.01
ROP-102-ExC85-xgenV2_S68	217	6.36
ROP-103-ExC85-xgenV2_S69	251	7.35
ROP-105-ExC85-xgenV2_S70	124	3.63
ROP-107-ExC85-xgenV2_S71	5801	169.98
ROP-108-ExC85-xgenV2_S72	270	7.91
ROP-109-ExC85-xgenV2_S73	226	6.62
ROP-11-ExC85-xgenV2_S8	335	9.82
ROP-110-ExC85-xgenV2_S74	256	7.5
ROP-112-ExC85-xgenV2_S75	205	6.01
ROP-113-ExC85-xgenV2_S76	147	4.31
ROP-114-ExC85-xgenV2_S77	202	5.92
ROP-115-ExC85-xgenV2_S78	180	5.27
ROP-117-ExC85-xgenV2_S80	297	8.7
ROP-119-ExC85-xgenV2_S82	240	7.03
ROP-12-ExC85-xgenV2_S9	208	6.09
ROP-128-ExC85-xgenV2_S90	159	4.66
ROP-129-ExC85-xgenV2_S91	218	6.39
ROP-133-ExC85-xgenV2_S95	528	15.47
ROP-14-ExC85-xgenV2_S10	240	7.03
ROP-15-ExC85-xgenV2_S11	258	7.56
ROP-16-ExC85-xgenV2_S12	313	9.17
ROP-17-ExC85-xgenV2_S13	213	6.24
ROP-18-ExC85-xgenV2_S14	285	8.35
ROP-19-ExC85-xgenV2_S15	323	9.46
ROP-20-ExC85-xgenV2_S16	218	6.39
ROP-24-ExC85-xgenV2_S18	141	4.13
ROP-32-ExC85-xgenV2_S23	240	7.03
ROP-33-ExC85-xgenV2_S24	269	7.88
ROP-34-ExC85-xgenV2_S25	153	4.48
ROP-36-ExC85-xgenV2_S26	238	6.97
ROP-37-ExC85-xgenV2_S27	237	6.94
ROP-38-ExC85-xgenV2_S28	211	6.18
ROP-42-ExC85-xgenV2_S29	164	4.81
ROP-44-ExC85-xgenV2_S30	245	7.18
ROP-45-ExC85-xgenV2_S31	284	8.32
ROP-46-ExC85-xgenV2_S32	278	8.15
ROP-47-ExC85-xgenV2_S33	217	6.36
ROP-50-ExC85-xgenV2_S34	76	2.23
ROP-51-ExC85-xgenV2_S35	278	8.15
ROP-53-ExC85-xgenV2_S36	316	9.26
ROP-54-ExC85-xgenV2_S37	291	8.53
ROP-56-ExC85-xgenV2_S38	266	7.79
ROP-57-ExC85-xgenV2_S39	1001	29.33
ROP-58-ExC85-xgenV2_S40	258	7.56
ROP-59-ExC85-xgenV2_S41	202	5.92
ROP-60-ExC85-xgenV2_S42	274	8.03
ROP-61-ExC85-xgenV2_S43	121	3.55
ROP-65-ExC85-xgenV2_S44	309	9.05
ROP-68-ExC85-xgenV2_S45	311	9.11
ROP-69-ExC85-xgenV2_S46	260	7.62
ROP-70-ExC85-xgenV2_S47	237	6.94
ROP-71-ExC85-xgenV2_S48	122	3.57
ROP-73-ExC85-xgenV2_S49	215	6.3
ROP-75-ExC85-xgenV2_S50	230	6.74
ROP-76-ExC85-xgenV2_S51	202	5.92
ROP-78-ExC85-xgenV2_S52	261	7.65
ROP-81-ExC85-xgenV2_S53	26	0.76
ROP-83-ExC85-xgenV2_S54	8517	249.57
ROP-85-ExC85-xgenV2_S55	221	6.48
ROP-86-ExC85-xgenV2_S56	160	4.69
ROP-89-ExC85-xgenV2_S57	374	10.96
ROP-90-ExC85-xgenV2_S58	2707	79.32
ROP-91-ExC85-xgenV2_S59	38	1.11
ROP-92-ExC85-xgenV2_S60	281	8.23
ROP-93-ExC85-xgenV2_S61	224	6.56
ROP-94-ExC85-xgenV2_S62	239	7
ROP-95-ExC85-xgenV2_S63	288	8.44
ROP-96-ExC85-xgenV2_S64	110	3.22
ROP-97-ExC85-xgenV2_S65	235	6.89
ROP-98-ExC85-xgenV2_S66	188	5.51
