SAMPLE	VAF_MAD	VAF_median	N_mutations	MATH_score	N_Mutations_TMB	TMB	EXOME_ID
ROP-1-ExC85-xgenV2_S7	0.169653918	0.24264	296	69.920012363996	392	11.49	ROP-1
ROP-100-ExC85-xgenV2_S67	0.17427963	0.4288	150	40.6435704291045	205	6.01	ROP-100
ROP-102-ExC85-xgenV2_S68	0.18851259	0.38095	151	49.484864155401	218	6.39	ROP-102
ROP-103-ExC85-xgenV2_S69	0.173286288	0.38961	181	44.4768583968584	252	7.38	ROP-103
ROP-105-ExC85-xgenV2_S70	0.089637996	0.4552	93	19.6920026362039	124	3.63	ROP-105
ROP-107-ExC85-xgenV2_S71	0.043647744	0.20985	4611	20.7994967834167	5802	170.01	ROP-107
ROP-108-ExC85-xgenV2_S72	0.160446972	0.439635	186	36.495495581562	271	7.94	ROP-108
ROP-109-ExC85-xgenV2_S73	0.223709514	0.297405	164	75.2204952842084	226	6.62	ROP-109
ROP-11-ExC85-xgenV2_S8	0.200795931	0.324935	242	61.7957225291212	335	9.82	ROP-11
ROP-110-ExC85-xgenV2_S74	0.12861555	0.40704	189	31.5977668042453	256	7.5	ROP-110
ROP-112-ExC85-xgenV2_S75	0.268691598	0.316655	152	84.8531044827967	205	6.01	ROP-112
ROP-114-ExC85-xgenV2_S77	0.156429126	0.38514	146	40.6161723009815	204	5.98	ROP-114
ROP-115-ExC85-xgenV2_S78	0.116739924	0.437775	136	26.6666493061504	184	5.39	ROP-115
ROP-117-ExC85-xgenV2_S80	0.246430359	0.432205	204	57.0170079013431	299	8.76	ROP-117
ROP-12-ExC85-xgenV2_S9	0.188305026	0.333145	152	56.5234435456033	208	6.09	ROP-12
ROP-133-ExC85-xgenV2_S95	0.078266454	0.17668	407	44.2984231378764	528	15.47	ROP-133
ROP-14-ExC85-xgenV2_S10	0.206778222	0.34507	179	59.9235581186426	242	7.09	ROP-14
ROP-15-ExC85-xgenV2_S11	0.211804236	0.35714	191	59.3056605252842	258	7.56	ROP-15
ROP-16-ExC85-xgenV2_S12	0.105902118	0.1875	249	56.4811296	333	9.76	ROP-16
ROP-18-ExC85-xgenV2_S14	0.154753788	0.35065	205	44.1334059603593	290	8.5	ROP-18
ROP-20-ExC85-xgenV2_S16	0.223242495	0.396375	164	56.3210331125828	220	6.45	ROP-20
ROP-32-ExC85-xgenV2_S23	0.21297549	0.43671	183	48.7681733873738	242	7.09	ROP-32
ROP-33-ExC85-xgenV2_S24	0.22631889	0.441915	194	51.2132174739486	269	7.88	ROP-33
ROP-34-ExC85-xgenV2_S25	0.103292742	0.45255	105	22.8246032482599	155	4.54	ROP-34
ROP-36-ExC85-xgenV2_S26	0.169779939	0.46667	186	36.3811556346026	239	7	ROP-36
ROP-38-ExC85-xgenV2_S28	0.134004801	0.42906	156	31.232182212278	212	6.21	ROP-38
ROP-44-ExC85-xgenV2_S30	0.169772526	0.412775	174	41.1295562958028	245	7.18	ROP-44
ROP-45-ExC85-xgenV2_S31	0.207297132	0.28571	213	72.5550845262679	286	8.38	ROP-45
ROP-47-ExC85-xgenV2_S33	0.258113247	0.36864	156	70.0176993815104	219	6.42	ROP-47
ROP-51-ExC85-xgenV2_S35	0.192204264	0.29425	208	65.3200557349193	283	8.29	ROP-51
ROP-53-ExC85-xgenV2_S36	0.11126913	0.1988	230	55.9703873239437	319	9.35	ROP-53
ROP-54-ExC85-xgenV2_S37	0.168957096	0.25859	223	65.3378305425577	294	8.61	ROP-54
ROP-56-ExC85-xgenV2_S38	0.177912	0.28	207	63.54	274	8.03	ROP-56
ROP-57-ExC85-xgenV2_S39	0.032424462	0.14516	701	22.3370501515569	1008	29.54	ROP-57
ROP-58-ExC85-xgenV2_S40	0.195725439	0.32037	180	61.0935602584512	258	7.56	ROP-58
ROP-61-ExC85-xgenV2_S43	0.202315596	0.2753	91	73.4891376679986	126	3.69	ROP-61
ROP-65-ExC85-xgenV2_S44	0.08013453	0.16216	283	49.4169523926986	341	9.99	ROP-65
ROP-68-ExC85-xgenV2_S45	0.147133224	0.20833	263	70.6250775212403	340	9.96	ROP-68
ROP-69-ExC85-xgenV2_S46	0.203234808	0.41994	191	48.396153736248	262	7.68	ROP-69
ROP-75-ExC85-xgenV2_S50	0.107807259	0.367355	172	29.3468876155218	232	6.8	ROP-75
ROP-76-ExC85-xgenV2_S51	0.189083391	0.43716	148	43.2526743068899	203	5.95	ROP-76
ROP-83-ExC85-xgenV2_S54	0.069474636	0.35537	6895	19.5499440020261	8521	249.69	ROP-83
ROP-85-ExC85-xgenV2_S55	0.137926278	0.36667	165	37.6159156734939	224	6.56	ROP-85
ROP-86-ExC85-xgenV2_S56	0.0812020020000001	0.47464	117	17.108124473285	161	4.72	ROP-86
ROP-89-ExC85-xgenV2_S57	0.190573404	0.31315	274	60.8569069136197	374	10.96	ROP-89
ROP-90-ExC85-xgenV2_S58	0.035693595	0.169	1938	21.1204704142012	2708	79.35	ROP-90
ROP-91-ExC85-xgenV2_S59	0.238439145	0.398925	166	59.7704192517391	234	6.86	ROP-91
ROP-93-ExC85-xgenV2_S61	0.187956615	0.37159	162	50.581720444576	224	6.56	ROP-93
ROP-94-ExC85-xgenV2_S62	0.202715898	0.310385	186	65.3111129725985	240	7.03	ROP-94
ROP-95-ExC85-xgenV2_S63	0.223783644	0.29224	197	76.5752956474131	290	8.5	ROP-95
ROP-96-ExC85-xgenV2_S64	0.058918524	0.4899	80	12.026642988365	111	3.25	ROP-96
ROP-97-ExC85-xgenV2_S65	0.197949339	0.384575	164	51.4722327244361	235	6.89	ROP-97
ROP-98-ExC85-xgenV2_S66	0.178267824	0.41509	139	42.9467884073333	190	5.57	ROP-98
