SAMPLE	VAF_MAD	VAF_median	N_mutations	MATH_score	N_Mutations_TMB	TMB	EXOME_ID
ROP-1-ExC85-xgenV2_S7	0.177719262	0.24808	392	71.6378837471783	392	11.49	ROP-1
ROP-100-ExC85-xgenV2_S67	0.168808836	0.4375	205	38.5848768	205	6.01	ROP-100
ROP-102-ExC85-xgenV2_S68	0.193064172	0.39139	218	49.3278244206546	218	6.39	ROP-102
ROP-103-ExC85-xgenV2_S69	0.170209893	0.39823	252	42.7416048514678	252	7.38	ROP-103
ROP-105-ExC85-xgenV2_S70	0.091068705	0.450225	124	20.2273763118441	124	3.63	ROP-105
ROP-107-ExC85-xgenV2_S71	0.042899031	0.20968	5802	20.4592860549409	5802	170.01	ROP-107
ROP-108-ExC85-xgenV2_S72	0.148274826	0.43709	271	33.9231796655151	271	7.94	ROP-108
ROP-109-ExC85-xgenV2_S73	0.224769573	0.307915	226	72.9972794440024	226	6.62	ROP-109
ROP-11-ExC85-xgenV2_S8	0.19933557	0.31111	335	64.0723763299155	335	9.82	ROP-11
ROP-110-ExC85-xgenV2_S74	0.129512523	0.40561	256	31.9303081778063	256	7.5	ROP-110
ROP-112-ExC85-xgenV2_S75	0.271716102	0.3554	205	76.4536021384356	205	6.01	ROP-112
ROP-114-ExC85-xgenV2_S77	0.163553019	0.38494	204	42.4879251311893	204	5.98	ROP-114
ROP-115-ExC85-xgenV2_S78	0.156058476	0.416295	184	37.4874730659749	184	5.39	ROP-115
ROP-117-ExC85-xgenV2_S80	0.239528856	0.41909	299	57.1545147820277	299	8.76	ROP-117
ROP-12-ExC85-xgenV2_S9	0.177556176	0.419035	208	42.3726361759758	208	6.09	ROP-12
ROP-133-ExC85-xgenV2_S95	0.087792159	0.1813	528	48.423694980695	528	15.47	ROP-133
ROP-14-ExC85-xgenV2_S10	0.22528107	0.35389	242	63.6585012291955	242	7.09	ROP-14
ROP-15-ExC85-xgenV2_S11	0.210581091	0.379795	258	55.4459882304928	258	7.56	ROP-15
ROP-16-ExC85-xgenV2_S12	0.114560502	0.19355	333	59.1890994575045	333	9.76	ROP-16
ROP-18-ExC85-xgenV2_S14	0.148230348	0.37066	290	39.9909210597313	290	8.5	ROP-18
ROP-20-ExC85-xgenV2_S16	0.192130134	0.39957	220	48.0842240408439	220	6.45	ROP-20
ROP-32-ExC85-xgenV2_S23	0.205955379	0.436465	242	47.1871465065927	242	7.09	ROP-32
ROP-33-ExC85-xgenV2_S24	0.225147636	0.43925	269	51.2572876494024	269	7.88	ROP-33
ROP-34-ExC85-xgenV2_S25	0.082047084	0.47603	155	17.2356960695754	155	4.54	ROP-34
ROP-36-ExC85-xgenV2_S26	0.174620628	0.46617	239	37.458572623721	239	7	ROP-36
ROP-38-ExC85-xgenV2_S28	0.113700594	0.44622	212	25.480837703375	212	6.21	ROP-38
ROP-44-ExC85-xgenV2_S30	0.167192802	0.4235	245	39.4788198347107	245	7.18	ROP-44
ROP-45-ExC85-xgenV2_S31	0.215970342	0.297015	286	72.713614463916	286	8.38	ROP-45
ROP-47-ExC85-xgenV2_S33	0.232783026	0.39891	219	58.3547732571257	219	6.42	ROP-47
ROP-51-ExC85-xgenV2_S35	0.200388216	0.3	283	66.796072	283	8.29	ROP-51
ROP-53-ExC85-xgenV2_S36	0.135124164	0.21359	319	63.2633381712627	319	9.35	ROP-53
ROP-54-ExC85-xgenV2_S37	0.182396865	0.27084	294	67.3448770491803	294	8.61	ROP-54
ROP-56-ExC85-xgenV2_S38	0.206541006	0.333025	274	62.0196699947451	274	8.03	ROP-56
ROP-57-ExC85-xgenV2_S39	0.032476353	0.145045	1008	22.3905360405391	1008	29.54	ROP-57
ROP-58-ExC85-xgenV2_S40	0.211611498	0.339155	258	62.3937426840235	258	7.56	ROP-58
ROP-61-ExC85-xgenV2_S43	0.200336325	0.27595	126	72.5987769523464	126	3.69	ROP-61
ROP-65-ExC85-xgenV2_S44	0.088259178	0.16667	341	52.9544477110458	341	9.99	ROP-65
ROP-68-ExC85-xgenV2_S45	0.159883584	0.21654	340	73.8355888057634	340	9.96	ROP-68
ROP-69-ExC85-xgenV2_S46	0.199787763	0.422325	262	47.306638962884	262	7.68	ROP-69
ROP-75-ExC85-xgenV2_S50	0.115309215	0.369875	232	31.1751848597499	232	6.8	ROP-75
ROP-76-ExC85-xgenV2_S51	0.196904106	0.44	203	44.7509331818182	203	5.95	ROP-76
ROP-83-ExC85-xgenV2_S54	0.068837118	0.35484	8521	19.3994808927968	8521	249.69	ROP-83
ROP-85-ExC85-xgenV2_S55	0.142744728	0.37335	224	38.2334881478505	224	6.56	ROP-85
ROP-86-ExC85-xgenV2_S56	0.0837372480000001	0.47464	161	17.6422652958031	161	4.72	ROP-86
