#ID	ID_Exoma	PERC_>=100	PERC_>=200	DUPLICATION	COVERAGE_1st_Qu.	COVERAGE_Median	COVERAGE_Mean 	COVERAGE_3rd_Qu.
1	ROP-1	0.56	0.41	0.34	56	128	239	364
11	ROP-11	0.81	0.45	0.28	116	184	213.6	278
12	ROP-12	0.98	0.76	0.31	202	270	293.5	353
14	ROP-14	0.71	0.37	0.38	92	149	238.4	278
15	ROP-15	0.96	0.61	0.30	168	227	257.8	308
16	ROP-16	0.40	0.30	0.34	29	60	215.6	276
17	ROP-17	0.43	0.31	0.35	43	77	220	295
18	ROP-18	0.61	0.30	0.41	78	120	242.5	240
19	ROP-19	0.56	0.36	0.38	68	117	267.7	351
20	ROP-20	0.94	0.63	0.41	162	254	335.5	426
23	ROP-23	0.79	0.54	0.44	111	224	345.6	500
24	ROP-24	0.80	0.57	0.51	92	173	242	329
25	ROP-25	0.01	0.00	0.38	10	19	23.84	32
26	ROP-26	0.01	0.00	0.39	2	5	14.66	17
27	ROP-27	0.00	0.00	0.33	0	0	0.007949	0
29	ROP-29	0.00	0.00	0.33	0	3	7.467	9
32	ROP-32	0.98	0.75	0.33	201	279	317.3	389
33	ROP-33	0.94	0.64	0.31	167	243	289.2	358
34	ROP-34	0.65	0.41	0.43	76	151	259.3	341
36	ROP-36	0.93	0.58	0.36	157	223	262.2	320
37	ROP-37	0.96	0.70	0.32	184	260	293.3	361
38	ROP-38	0.98	0.77	0.34	204	269	297.4	354
42	ROP-42	0.70	0.40	0.38	91	153	243.2	314
44	ROP-44	0.97	0.70	0.30	186	254	281.4	340
45	ROP-45	0.60	0.33	0.31	72	123	200.7	261
46	ROP-46	0.83	0.38	0.28	115	166	205.3	255
47	ROP-47	0.87	0.41	0.31	126	177	202.9	247
50	ROP-50	0.80	0.18	0.27	107	140	154.2	181
51	ROP-51	0.93	0.42	0.31	141	185	205.2	244
53	ROP-53	0.81	0.41	0.33	115	175	213.2	260
54	ROP-54	0.74	0.42	0.33	97	160	258.2	344
56	ROP-56	0.81	0.37	0.26	112	163	198.9	247
57	ROP-57	0.60	0.31	0.35	68	124	220.6	242
58	ROP-58	0.87	0.55	0.32	135	222	291.3	387
59	ROP-59	0.94	0.56	0.29	157	212	242.8	288
60	ROP-60	0.83	0.22	0.28	113	149	162.3	191
61	ROP-61	0.46	0.36	0.40	34	79	227.7	344
65	ROP-65	0.42	0.31	0.34	29	66	195.8	277
68	ROP-68	0.32	0.18	0.34	40	62	153	136
69	ROP-69	0.78	0.37	0.28	106	162	196.8	251
70	ROP-70	0.93	0.46	0.26	145	192	211.9	252
71	ROP-71	0.91	0.43	0.28	137	185	203.5	245
73	ROP-73	0.94	0.56	0.27	156	214	246.3	300
75	ROP-75	0.85	0.39	0.31	119	170	198.3	249
76	ROP-76	0.92	0.47	0.26	141	193	220.7	267
78	ROP-78	0.81	0.43	0.31	112	175	223.9	289
81	ROP-81	0.75	0.46	0.31	100	183	238.8	329
83	ROP-83	0.82	0.21	0.24	112	147	161	190
85	ROP-85	0.95	0.63	0.31	164	244	285.5	367
86	ROP-86	0.91	0.46	0.29	140	191	214	257
89	ROP-89	0.93	0.55	0.30	152	212	242.7	298
90	ROP-90	0.89	0.50	0.32	134	199	251.1	317
91	ROP-91	0.93	0.65	0.34	167	259	315.6	410
92	ROP-92	0.77	0.36	0.28	103	154	207.5	256
93	ROP-93	0.93	0.68	0.30	172	281	327.1	435
94	ROP-94	0.46	0.20	0.28	48	89	130.8	175
95	ROP-95	0.73	0.34	0.26	96	149	185.7	238
96	ROP-96	0.95	0.64	0.29	168	241	272.2	340
97	ROP-97	0.70	0.36	0.27	90	151	186.7	247
98	ROP-98	0.88	0.53	0.32	136	212	259.5	336
100	ROP-100	0.77	0.37	0.29	103	157	196	251
102	ROP-102	0.62	0.27	0.28	76	125	159.9	209
103	ROP-103	0.89	0.52	0.27	137	205	242.4	309
105	ROP-105	0.77	0.42	0.32	104	169	216.5	286
107	ROP-107	0.94	0.59	0.28	158	224	254.8	318
108	ROP-108	0.86	0.46	0.28	127	187	219.1	275
109	ROP-109	0.78	0.33	0.29	105	153	180.6	227
110	ROP-110	0.93	0.48	0.28	145	195	220.1	264
112	ROP-112	0.85	0.51	0.27	131	203	230.2	298
113	ROP-113	0.61	0.25	0.29	71	124	148.7	198
114	ROP-114	0.86	0.53	0.29	139	207	228.3	289
115	ROP-115	0.87	0.31	0.26	123	164	182.2	216
116	ROP-116	0.83	0.49	0.26	127	196	222.2	285
117	ROP-117	0.84	0.51	0.27	131	202	229.8	293
118	ROP-118	0.81	0.37	0.30	114	167	190.9	239
119	ROP-119	0.72	0.23	0.25	94	138	155	193
120	ROP-120	0.93	0.56	0.27	157	214	233.7	283
121	ROP-121	0.87	0.50	0.26	138	201	219.2	276
122	ROP-122	0.95	0.51	0.26	155	201	221.9	260
123	ROP-123	0.87	0.45	0.28	129	188	215.1	265
125	ROP-125	0.87	0.30	0.24	122	162	180	214
126	ROP-126	0.87	0.52	0.33	134	205	239.6	305
127	ROP-127	0.73	0.23	0.26	96	137	156.3	194
128	ROP-128	0.89	0.47	0.26	137	194	214.7	265
129	ROP-129	0.91	0.63	0.36	161	248	289.4	373
130	ROP-130	0.32	0.05	0.34	47	75	88.58	113
131	ROP-131	0.93	0.71	0.35	186	275	310.9	394
132	ROP-132	0.95	0.65	0.33	173	239	267.5	329
133	ROP-133	0.88	0.51	0.34	138	203	231.2	289
