SAMPLE	MAF_MAD	MAF_median	N_mutations	MATH_score	N_Mutations_TMB	TMB
ROP-1-ExC85-xgenV2_S7	0.185325	0.425	205	43.6058823529412	278	8.15
ROP-100-ExC85-xgenV2_S67	0.143864091	0.45727	156	31.4615196710915	221	6.48
ROP-102-ExC85-xgenV2_S68	0.133078176	0.46032	187	28.9099270072993	303	8.88
ROP-103-ExC85-xgenV2_S69	0.118874868	0.44659	160	26.6183452383618	222	6.51
ROP-105-ExC85-xgenV2_S70	0.0664797839999999	0.47571	91	13.9748552689664	120	3.52
ROP-107-ExC85-xgenV2_S71	0.031193904	0.23333	2766	13.3690069858141	3524	103.26
ROP-108-ExC85-xgenV2_S72	0.146881182	0.46681	178	31.4648747884578	267	7.82
ROP-109-ExC85-xgenV2_S73	0.11660649	0.438645	130	26.58333960264	179	5.25
ROP-11-ExC85-xgenV2_S8	0.171032736	0.39011	191	43.8421819486811	265	7.77
ROP-110-ExC85-xgenV2_S74	0.126198912	0.42723	189	29.5388694614142	262	7.68
ROP-112-ExC85-xgenV2_S75	0.142863336	0.47973	113	29.7799462197486	160	4.69
ROP-113-ExC85-xgenV2_S76	0.103870956	0.45199	114	22.9808084249652	154	4.51
ROP-114-ExC85-xgenV2_S77	0.133181958	0.42767	143	31.1412907148035	212	6.21
ROP-115-ExC85-xgenV2_S78	0.126287868	0.41381	80	30.5183219351876	112	3.28
ROP-117-ExC85-xgenV2_S80	0.245563038	0.46437	196	52.8809005749725	283	8.29
ROP-119-ExC85-xgenV2_S82	0.1527078	0.4	168	38.17695	235	6.89
ROP-12-ExC85-xgenV2_S9	0.123522819	0.449245	154	27.4956469187192	217	6.36
ROP-128-ExC85-xgenV2_S90	0.04558995	0.48101	121	9.47796303611152	187	5.48
ROP-133-ExC85-xgenV2_S95	0.164998554	0.35556	173	46.4052632467094	250	7.33
ROP-14-ExC85-xgenV2_S10	0.228483486	0.412675	168	55.3664472042164	237	6.94
ROP-15-ExC85-xgenV2_S11	0.148941996	0.43243	161	34.4430303170455	236	6.92
ROP-16-ExC85-xgenV2_S12	0.160061496	0.43	111	37.2236037209302	157	4.6
ROP-17-ExC85-xgenV2_S13	0.118452327	0.46222	94	25.6268285664835	139	4.07
ROP-18-ExC85-xgenV2_S14	0.149238516	0.38462	192	38.8015485414175	285	8.35
ROP-19-ExC85-xgenV2_S15	0.16968357	0.39535	191	42.9198355887189	271	7.94
ROP-20-ExC85-xgenV2_S16	0.0991488749999999	0.463535	118	21.3897278522657	171	5.01
ROP-24-ExC85-xgenV2_S18	0.052402497	0.47913	108	10.9370102059984	154	4.51
ROP-32-ExC85-xgenV2_S23	0.18628869	0.48023	179	38.7915561293547	235	6.89
ROP-33-ExC85-xgenV2_S24	0.208164453	0.472455	196	44.0601650950884	270	7.91
ROP-34-ExC85-xgenV2_S25	0.0641669279999999	0.47727	83	13.4445760261487	136	3.99
ROP-36-ExC85-xgenV2_S26	0.161840616	0.47955	177	33.7484341570222	238	6.97
ROP-37-ExC85-xgenV2_S27	0.165443334	0.422855	134	39.1253110404276	205	6.01
ROP-38-ExC85-xgenV2_S28	0.11475324	0.444725	156	25.803190735848	226	6.62
ROP-42-ExC85-xgenV2_S29	0.112143864	0.293205	84	38.2475960505448	115	3.37
ROP-44-ExC85-xgenV2_S30	0.159631542	0.47368	293	33.700291758149	449	13.16
ROP-45-ExC85-xgenV2_S31	0.161366184	0.41667	141	38.7275743394053	199	5.83
ROP-46-ExC85-xgenV2_S32	0.13803006	0.42917	117	32.1620942749959	162	4.75
ROP-47-ExC85-xgenV2_S33	0.159572238	0.4697	123	33.9732250372578	190	5.57
ROP-50-ExC85-xgenV2_S34	0.056842884	0.48571	55	11.7030499680879	77	2.26
ROP-51-ExC85-xgenV2_S35	0.152174064	0.34091	161	44.6376064063829	230	6.74
ROP-53-ExC85-xgenV2_S36	0.14581371	0.43333	123	33.6495765352041	187	5.48
ROP-54-ExC85-xgenV2_S37	0.193049346	0.38947	177	49.5671928518243	252	7.38
ROP-56-ExC85-xgenV2_S38	0.170469348	0.41892	147	40.6925780578631	218	6.39
ROP-57-ExC85-xgenV2_S39	0.120550206	0.29177	44	41.3168612263084	62	1.82
ROP-58-ExC85-xgenV2_S40	0.212738274	0.37849	151	56.2071056038469	228	6.68
