SAMPLE	N_Mutations_TMB	TMB
ROP-1-ExC85-xgenV2_S7	392	11.49
ROP-100-ExC85-xgenV2_S67	205	6.01
ROP-102-ExC85-xgenV2_S68	218	6.39
ROP-103-ExC85-xgenV2_S69	252	7.38
ROP-105-ExC85-xgenV2_S70	124	3.63
ROP-107-ExC85-xgenV2_S71	5802	170.01
ROP-108-ExC85-xgenV2_S72	271	7.94
ROP-109-ExC85-xgenV2_S73	226	6.62
ROP-11-ExC85-xgenV2_S8	335	9.82
ROP-110-ExC85-xgenV2_S74	256	7.5
ROP-112-ExC85-xgenV2_S75	205	6.01
ROP-114-ExC85-xgenV2_S77	204	5.98
ROP-115-ExC85-xgenV2_S78	184	5.39
ROP-117-ExC85-xgenV2_S80	299	8.76
ROP-12-ExC85-xgenV2_S9	208	6.09
ROP-133-ExC85-xgenV2_S95	528	15.47
ROP-14-ExC85-xgenV2_S10	242	7.09
ROP-15-ExC85-xgenV2_S11	258	7.56
ROP-16-ExC85-xgenV2_S12	333	9.76
ROP-18-ExC85-xgenV2_S14	290	8.5
ROP-20-ExC85-xgenV2_S16	220	6.45
ROP-32-ExC85-xgenV2_S23	242	7.09
ROP-33-ExC85-xgenV2_S24	269	7.88
ROP-34-ExC85-xgenV2_S25	155	4.54
ROP-36-ExC85-xgenV2_S26	239	7
ROP-38-ExC85-xgenV2_S28	212	6.21
ROP-44-ExC85-xgenV2_S30	245	7.18
ROP-45-ExC85-xgenV2_S31	286	8.38
ROP-47-ExC85-xgenV2_S33	219	6.42
ROP-51-ExC85-xgenV2_S35	283	8.29
ROP-53-ExC85-xgenV2_S36	319	9.35
ROP-54-ExC85-xgenV2_S37	294	8.61
ROP-56-ExC85-xgenV2_S38	274	8.03
ROP-57-ExC85-xgenV2_S39	1008	29.54
ROP-58-ExC85-xgenV2_S40	258	7.56
ROP-61-ExC85-xgenV2_S43	126	3.69
ROP-65-ExC85-xgenV2_S44	341	9.99
ROP-68-ExC85-xgenV2_S45	340	9.96
ROP-69-ExC85-xgenV2_S46	262	7.68
ROP-75-ExC85-xgenV2_S50	232	6.8
ROP-76-ExC85-xgenV2_S51	203	5.95
ROP-83-ExC85-xgenV2_S54	8521	249.69
ROP-85-ExC85-xgenV2_S55	224	6.56
ROP-86-ExC85-xgenV2_S56	161	4.72
ROP-89-ExC85-xgenV2_S57	374	10.96
ROP-90-ExC85-xgenV2_S58	2708	79.35
ROP-91-ExC85-xgenV2_S59	234	6.86
ROP-93-ExC85-xgenV2_S61	224	6.56
ROP-94-ExC85-xgenV2_S62	240	7.03
ROP-95-ExC85-xgenV2_S63	290	8.5
ROP-96-ExC85-xgenV2_S64	111	3.25
ROP-97-ExC85-xgenV2_S65	235	6.89
ROP-98-ExC85-xgenV2_S66	190	5.57
