gene_name	n_syn	n_mis	n_non	n_spl	n_ind	wmis_cv	wnon_cv	wspl_cv	wind_cv	pmis_cv	ptrunc_cv	pallsubs_cv	pind_cv	qmis_cv	qtrunc_cv	qallsubs_cv	qind_cv	pglobal_cv	qglobal_cv
KRAS	0	30	0	0	0	121.707175092449	0	0	0	0	0.78007937013358	0	1	0	0.920492770712356	0	1	0	0
TP53	2	21	7	0	3	27.974614848676	84.8869917980213	84.8869917980213	81.7442411244658	1.11022302462516e-16	4.59359217330757e-11	0	0.000112495834074486	1.06670228205985e-12	4.41352336011391e-07	0	0.475529674624782	0	0
APC	0	9	33	0	7	2.80407393699868	83.5327495413309	83.5327495413309	26.424122951392	0.0525802687265257	0	0	0.000184060586527171	0.757353367989735	0	0	0.475529674624782	0	0
FBXW7	1	7	7	0	0	6.98708841853695	44.2899787697883	44.2899787697883	0	0.000764430533468197	5.67367974824151e-09	2.23738627624925e-09	1	0.757353367989735	3.63418100140696e-05	1.07484036711014e-05	1	4.68015509680342e-08	0.000224834650850436
SMAD4	0	12	1	0	0	18.4285764964435	14.0425112030882	14.0425112030882	0	8.16764211819532e-09	0.0702111803876147	2.79360333754752e-08	1	5.23164703144137e-05	0.920492770712356	0.000107363763468626	1	5.13837196569611e-07	0.00197477911385633
ARID2	3	0	4	0	4	0	13.2098602875536	13.2098602875536	23.3894197552938	0.021593642820897	0.000569775753985646	6.06507385725319e-05	0.00143829594508933	0.757353367989735	0.920492770712356	0.129496065823308	1	1.50518933694777e-06	0.00482061971646471
ZFP36L2	0	3	0	0	5	3.01262406210215	0	0	108.441855229089	0.153185261974373	0.848925270439367	0.352070246813573	1.33787062725571e-06	0.757353367989735	0.920492770712356	0.947339048598423	0.0257085219733457	7.33307612643674e-06	0.0201303415493726
CD58	0	1	4	0	0	3.33156751525022	113.251355394316	113.251355394316	0	0.336143403449915	1.52994395485884e-07	8.82823511405562e-07	1	0.757353367989735	0.000734985075914185	0.00282738943252821	1	1.31895073237631e-05	0.031681196591679
TEX13C	1	5	1	0	4	3.86434151388698	19.6025811359981	19.6025811359981	43.2021877975044	0.0327376024620849	0.047691534053331	0.0201815670423084	0.000197972387437461	0.757353367989735	0.920492770712356	0.947339048598423	0.475529674624782	5.36596008535728e-05	0.114569210000251
SMAD2	0	3	2	0	2	5.50665986978254	23.5592009981969	23.5592009981969	49.021660583013	0.0352618646333382	0.00416782819168038	0.00310709642584828	0.00227928458424817	0.757353367989735	0.920492770712356	0.947339048598423	1	9.10595216071508e-05	0.174979976720301
ZNF727	0	7	2	0	0	11.1552465003189	26.93356147673	26.93356147673	0	6.67599510774108e-05	0.00315436524758883	1.47662947092009e-05	1	0.320714804975882	0.920492770712356	0.0405355884474292	1	0.000179014202965178	0.279876188174755
CSMD3	3	21	0	0	3	3.77385243193765	0	0	8.68587675378628	0.000523313680159787	0.238483591245177	0.000553141831592718	0.0267342479026782	0.757353367989735	0.920492770712356	0.81762872583736	1	0.000179253737292884	0.279876188174755
MUC21	0	0	0	0	4	0	0	0	75.7371687314274	0.300741991144148	0.841423874088962	0.574881985491052	2.73053416516754e-05	0.757353367989735	0.920492770712356	0.947339048598423	0.262349722589297	0.000189341717645286	0.279876188174755
TCF7L2	1	3	2	0	2	3.45083355320914	20.2604493330186	20.2604493330186	45.0136002837729	0.10673993429168	0.00544352019562211	0.00855307535706162	0.00267159189479547	0.757353367989735	0.920492770712356	0.947339048598423	1	0.000267041375578203	0.366533362365054
CTNNB1	1	7	0	0	2	6.08832065057761	0	0	27.4571449301275	0.00162864061082024	0.600929170024921	0.00548223913705004	0.0065658079252803	0.757353367989735	0.920492770712356	0.947339048598423	1	0.000404303906150094	0.517940257372014
ZNF781	0	2	3	0	0	5.12715518784587	73.5904521510399	73.5904521510399	0	0.0880560139762397	1.69695467808761e-05	3.89220372739585e-05	1	0.757353367989735	0.0652173621882632	0.0934907335320483	1	0.00043413445597229	0.521395481622721
OR4A16	0	3	0	0	2	8.2895444202198	0	0	65.2628794387832	0.0116547312054383	0.821660642994279	0.0400231912873418	0.00132963159235959	0.757353367989735	0.920492770712356	0.947339048598423	1	0.000576923695638332	0.652127396199187
FTMT	1	3	0	0	2	6.19474504407112	0	0	88.3600301866653	0.0240588772085919	0.859486503843086	0.0767993089550282	0.000745049116064906	0.757353367989735	0.920492770712356	0.947339048598423	1	0.000616172440940366	0.657798312506115
HTR7	0	2	0	0	3	3.18712413699272	0	0	72.2135224283397	0.2056291875205	0.794061019465682	0.43051842607142	0.000159150867376575	0.757353367989735	0.920492770712356	0.947339048598423	0.475529674624782	0.000725491019593516	0.702635616475562
B2M	0	3	0	0	1	16.8042617882579	0	0	89.4645305639987	0.00151506235185361	0.821418310779734	0.00629257583399123	0.0109849724770164	0.757353367989735	0.920492770712356	0.947339048598423	1	0.000731302681594048	0.702635616475562
MFSD9	0	0	0	0	3	0	0	0	67.8046968485043	0.282219153578489	0.79531165982208	0.544194173894105	0.000189618904836417	0.757353367989735	0.920492770712356	0.947339048598423	0.475529674624782	0.00105036011561033	0.961129522931812
ARID1A	2	1	3	0	2	0.291213494594477	11.6706455971653	11.6706455971653	9.39260163401561	0.178575222525288	0.0037987180920277	0.00295504616737474	0.0382073669425463	0.757353367989735	0.920492770712356	0.947339048598423	1	0.00113909021564695	0.97451943132514
EIF4EBP3	0	0	0	0	2	0	0	0	212.588983518413	0.603673711193558	0.860260946404422	0.860826950938496	0.000134656503207807	0.787201006670426	0.920492770712356	0.947339048598423	0.475529674624782	0.00116642105123221	0.97451943132514
NMI	0	0	2	0	1	0	33.9431253936711	33.9431253936711	34.8563106093501	0.375430264311186	0.00194602340009475	0.00483600715308674	0.0274572910259902	0.757353367989735	0.920492770712356	0.947339048598423	1	0.00131811538724713	0.999920207237827
OR5J2	0	2	1	0	1	6.06746859392561	60.5258388091574	60.5258388091574	34.2995005357183	0.0640999430534457	0.0137374865737041	0.0108635660359994	0.0278836914046225	0.757353367989735	0.920492770712356	0.947339048598423	1	0.00275716071418386	0.999920207237827
PIK3CA	0	10	0	0	0	7.61239322346035	0	0	0	0.000104301443894617	0.490680341666775	0.00031150056931295	1	0.33862887590597	0.920492770712356	0.598579493991765	1	0.00282659024164356	0.999920207237827
KRTAP9-9	0	0	0	0	2	0	0	0	126.302866678586	0.580813925588247	0.89907708828178	0.851904700142054	0.00037315421005881	0.779262359782811	0.920977197089278	0.947339048598423	0.796725700054456	0.00287812881979921	0.999920207237827
OR7D2	0	2	1	0	1	5.35807573778989	66.4108088236131	66.4108088236131	34.2995005357183	0.0810961106437867	0.0123934779221522	0.0119410671179492	0.0278836914046225	0.757353367989735	0.920492770712356	0.947339048598423	1	0.00299914152169911	0.999920207237827
ABCF1	0	9	0	0	0	8.229086837031	0	0	0	0.000105733412543496	0.545676187971766	0.000363222926788698	1	0.33862887590597	0.920492770712356	0.634517432833783	1	0.00324012786237238	0.999920207237827
SOX9	1	1	1	0	2	0.96248029433215	22.143064151682	22.143064151682	42.1009555595288	0.971487081742757	0.0416068818358449	0.123713533487061	0.00302392521362953	0.984796387260162	0.920492770712356	0.947339048598423	1	0.00332612212640093	0.999920207237827
