Tumor_Sample_Barcode	MedianAbsoluteDeviation	MATH
ROP-1	10.818	67.0713285660519
ROP-100	11.945	41.7769267061405
ROP-102	12.105	48.2754276952873
ROP-103	11.688	44.4768583968584
ROP-105	6.153	20.0405048330404
ROP-107	2.938	20.7541395082904
ROP-108	10.867	36.4363250260075
ROP-109	15.081	75.646081705151
ROP-11	13.351	61.7815556041075
ROP-110	8.85	32.2664978052109
ROP-112	17.913	84.9021396716804
ROP-114	10.892	42.7819615323478
ROP-115	8.1795	28.3170697364888
ROP-117	16.842	57.5702607613031
ROP-12	13.088	59.116100414331
ROP-133	5.393	44.975035437057
ROP-14	13.538	57.6657773691695
ROP-15	14.303	59.7695194340314
ROP-16	7.457	58.5393847294292
ROP-18	10.161	42.6834549781833
ROP-20	15.154	57.1157078031853
ROP-32	14.443	49.0329779487532
ROP-33	15.556	51.8930015300153
ROP-34	6.56649999999999	21.5244149900508
ROP-36	11.294	35.9173401688135
ROP-38	8.755	30.2525590826458
ROP-44	11.648	42.8838460392352
ROP-45	14.222	72.4078817327999
ROP-47	17.9825	76.8534742941151
ROP-51	12.014	61.8696274683478
ROP-53	7.2875	55.5213129496403
ROP-54	11.007	63.6440786240786
ROP-56	12.059	63.9872352456963
ROP-57	2.154	22.0045504030869
ROP-58	12.486	59.269822303333
ROP-61	13.7245	74.6727231692325
ROP-65	5.405	49.4169523926986
ROP-68	10.183	71.7109951075856
ROP-69	13.708	48.396153736248
ROP-75	6.731	27.4766464296039
ROP-76	12.889	43.4300713636364
ROP-83	4.688	19.5478366520419
ROP-85	9.3485	37.9094830557151
ROP-86	6.0545	18.9132165356819
ROP-89	12.9785	60.5997137233289
ROP-90	2.401	21.0734229220933
ROP-91	16.0885	60.5332134654671
ROP-93	12.5285	50.3763129203732
ROP-94	13.649	63.3186501454989
ROP-95	14.385	74.3859684001256
ROP-96	3.9225	11.8102770049349
ROP-97	13.084	52.4215660257536
ROP-98	12.08	43.2050949267845
