DomainLabel	nMuts	nGenes	pfam	Description
7tm_1	384	264	pfam00001	7 transmembrane receptor (rhodopsin family)
COG5048	382	231	NA	FOG: Zn-finger [General function prediction only]
Cadherin_repeat	263	87	cd11304	Cadherin tandem repeat domain
I-set	153	48	pfam07679	Immunoglobulin I-set domain
FN3	148	67	One of three types of internal repeats found in the plasma protein fibronectin. Its tenth fibronectin type III repeat contains an RGD cell recognition sequence in a flexible loop between 2 strands. Approximately 2% of all...	Fibronectin type 3 domain
COG2319	106	64	NA	FOG: WD40 repeat [General function prediction only]
LRR_RI	77	51	cl15309	Leucine-rich repeats (LRRs), ribonuclease inhibitor (RI)-like subfamily. LRRs are 20-29 residue sequence motifs present in many proteins that participate in protein-protein interactions and have different functions and cellular locations. LRRs correspond...
ANK	74	56	ankyrin repeats mediate protein-protein interactions in very diverse families of proteins. The number of ANK repeats in a protein can range from 2 to over 20 (ankyrins, for example). ANK repeats may occur in combinations with other...	ankyrin repeats
Ion_trans	72	40	pfam00520	Ion transport protein
SPEC	71	17	family members include spectrin, alpha-actinin and dystrophin	Spectrin repeats, found in several proteins involved in cytoskeletal structure
Ig	69	54	cl11960	Immunoglobulin domain
WD40	68	53	typically contains a GH dipeptide 11-24 residues from...	WD40 domain, found in a number of eukaryotic proteins that cover a wide variety of functions including adaptor/regulatory modules in signal transduction, pre-mRNA processing and cytoskeleton assembly
zf-H2C2_2	65	54	pfam13465	Zinc-finger double domain
SMC_prok_B	64	32	TIGR02168	chromosome segregation protein SMC, common bacterial type
S_TKc	62	51	smart00220	Serine/Threonine protein kinases, catalytic domain
CUB	55	18	extracellular domain	CUB domain
LamG	54	25	Laminin G-like domains are usually Ca++ mediated receptors that can have binding sites for steroids, beta1 integrins, heparin, sulfatides, fibulin-1, and alpha-dystroglycans. Proteins that contain LamG domains serve a variety of...	Laminin G domain
Tryp_SPc	52	34	Many of these are synthesized as inactive precursor zymogens that are cleaved during limited proteolysis to generate their active forms. Alignment contains also inactive enzymes that have substitutions of the catalytic triad...	Trypsin-like serine protease
Filament	49	36	pfam00038	Intermediate filament protein
COG1100	48	19	NA	GTPase SAR1 and related small G proteins [General function prediction only]
7tm_4	46	38	cl10458	Olfactory receptor
Smc	45	23	COG1196	Chromosome segregation ATPases [Cell division and chromosome partitioning]
PDZ_signaling	44	37	cd00992	PDZ domain found in a variety of Eumetazoan signaling molecules, often in tandem arrangements. May be responsible for specific protein-protein interactions, as most PDZ domains bind C-terminal polypeptides, and binding to internal (non-C-terminal)...
PTPc	44	24	they regulate phosphotyrosine levels in signal transduction pathways. The depth of the active site cleft renders the enzyme specific for phosphorylated Tyr	Protein tyrosine phosphatases (PTP) catalyze the dephosphorylation of phosphotyrosine peptides
KRAB_A-box	43	36	cd07765	KRAB (Kruppel-associated box) domain -A box
RRM	41	32	cd00590	RRM (RNA recognition motif), also known as RBD (RNA binding domain) or RNP (ribonucleoprotein domain), is a highly abundant domain in eukaryotes found in proteins involved in post-transcriptional gene expression processes including mRNA and rRNA...
homeodomain	41	37	DNA binding domains involved in the transcriptional regulation of key eukaryotic developmental processes	Homeodomain
LRR_8	37	34	pfam13855	Leucine rich repeat
UDPGT	37	14	pfam00201	UDP-glucoronosyl and UDP-glucosyl transferase
MYSc	36	24	smart00242	Myosin. Large ATPases
EGF_CA	35	27	cd00054	Calcium-binding EGF-like domain, present in a large number of membrane-bound and extracellular (mostly animal) proteins. Many of these proteins require calcium for their biological function and calcium-binding sites have been found to be located at the...
P-loop_NTPase	35	23	cl09099	P-loop containing Nucleoside Triphosphate Hydrolases
PKc_like	34	25	cl09925	Protein Kinases, catalytic domain
Myosin_tail_1	33	9	pfam01576	Myosin tail
P53	32	2	cd08367	P53 DNA-binding domain
RhoGEF	32	26	Also called Dbl-homologous (DH) domain. It appears that PH domains invariably occur C-terminal to RhoGEF/DH domains	Guanine nucleotide exchange factor for Rho/Rac/Cdc42-like GTPases
V-set	32	26	pfam07686	Immunoglobulin V-set domain
CypX	31	18	cl12078	Cytochrome P450 [Secondary metabolites biosynthesis, transport, and catabolism]
LIC	31	18	TIGR00860	Cation transporter family protein
p450	31	20	pfam00067	Cytochrome P450
Dynein_heavy	30	15	pfam03028	Dynein heavy chain and region D6 of dynein motor
ARM	29	15	these repeats were also found in the mammalian armadillo homolog beta-catenin	Armadillo/beta-catenin-like repeats. An approximately 40 amino acid long tandemly repeated sequence motif first identified in the Drosophila segment polarity gene armadillo
CCP	28	17	cd00033	Complement control protein (CCP) modules (aka short consensus repeats SCRs or SUSHI repeats) have been identified in several proteins of the complement system
SPRY	27	23	pfam00622	SPRY domain
7tm_2	26	18	pfam00002	7 transmembrane receptor (Secretin family)
TPR	26	19	typically contains 34 amino acids [WLF]-X(2)-[LIM]-[GAS]-X(2)-[YLF]-X(8)-[ASE]-X(3)-[FYL]- X(2)-[ASL]-X(4)-[PKE] is the consensus sequence	Tetratricopeptide repeat domain
BTB	25	22	cl02518	BTB/POZ domain
PH	25	22	cd00821	Pleckstrin homology (PH) domain
PH-like	24	21	cl00273	Pleckstrin homology-like domain
PHA03098	24	17	Provisional	kelch-like protein
zf-C3HC4_2	24	20	pfam13923	Zinc finger, C3HC4 type (RING finger)
B41	23	16	smart00295	Band 4.1 homologues
DHC_N2	23	13	pfam08393	Dynein heavy chain, N-terminal region 2
trp	23	10	TIGR00870	transient-receptor-potential calcium channel protein
EFh	22	17	A diverse superfamily of calcium sensors and calcium signal modulators	EF-hand, calcium binding motif
KRAB	22	21	smart00349	krueppel associated box
HLH	21	18	60-100 amino acids long. A DNA-binding basic region is followed by two alpha-helices separated by a variable loop region	Helix-loop-helix domain, found in specific DNA- binding proteins that act as transcription factors
AAA	20	15	cd00009	The AAA+ (ATPases Associated with a wide variety of cellular Activities) superfamily represents an ancient group of ATPases belonging to the ASCE (for additional strand, catalytic E) division of the P-loop NTPase fold. The ASCE division also includes ABC
ATPase-Plipid	20	8	TIGR01652	phospholipid-translocating P-type ATPase, flippase
Pkinase	20	16	pfam00069	Protein kinase domain
SMC_prok_A	20	12	TIGR02169	chromosome segregation protein SMC, primarily archaeal type
ae	20	7	TIGR00834	anion exchange protein
CH	19	16	actin-binding domain which may be present as a single copy or in tandem repeats (which increases binding affinity). The CH domain is found in cytoskeletal and signal transduction proteins, including actin-binding proteins like...	Calponin homology domain
SNF2_N	19	16	pfam00176	SNF2 family N-terminal domain
TSP1	19	17	smart00209	Thrombospondin type 1 repeats
UCH	19	13	pfam00443	Ubiquitin carboxyl-terminal hydrolase
BAR	18	12	smart00721	BAR domain
EGF_Lam	18	13	laminins are the major noncollagenous components of basement membranes that mediate cell adhesion, growth migration, and differentiation	Laminin-type epidermal growth factor-like domain
PHA02927	18	8	Provisional	secreted complement-binding protein
Tetraspannin	18	13	pfam00335	Tetraspanin family
rim_protein	18	3	TIGR01257	retinal-specific rim ABC transporter
MFS	17	11	cd06174	The Major Facilitator Superfamily (MFS) is a large and diverse group of secondary transporters that includes uniporters, symporters, and antiporters. MFS proteins facilitate the transport across cytoplasmic or internal membranes of a variety of...
NADB_Rossmann	17	12	cl09931	Rossmann-fold NAD(P)(+)-binding proteins
PKD_channel	17	13	pfam08016	Polycystin cation channel
2A0119	16	10	TIGR00898	cation transport protein
Ank_2	16	16	pfam12796	Ankyrin repeats (3 copies)
COG0724	16	11	NA	RNA-binding proteins (RRM domain) [General function prediction only]
Glyco_hydro_1	16	3	cl01046	Glycosyl hydrolase family 1
Mito_carr	16	12	pfam00153	Mitochondrial carrier protein
TAS2R	16	11	pfam05296	Mammalian taste receptor protein (TAS2R)
ATPase-IIC_X-K	15	5	TIGR01106	sodium or proton efflux -- potassium uptake antiporter, P-type ATPase, alpha subunit
CysPc	15	9	calcium-dependent cytoplasmic cysteine proteinases, papain-like. Functions in cytoskeletal remodeling processes, cell differentiation, apoptosis and signal transduction	Calpains, domains IIa, IIb
Neur_chan_LBD	15	10	pfam02931	Neurotransmitter-gated ion-channel ligand binding domain
PHA03247	15	7	Provisional	large tegument protein UL36
RasGEF	15	10	smart00147	Guanine nucleotide exchange factor for Ras-like small GTPases
TGFb_propeptide	15	12	pfam00688	TGF-beta propeptide
vWFA	15	10	cl00057	Von Willebrand factor type A (vWA) domain was originally found in the blood coagulation protein von Willebrand factor (vWF). Typically, the vWA domain is made up of approximately 200 amino acid residues folded into a classic a/b para-rossmann type of...
Anoctamin	14	5	pfam04547	Calcium-activated chloride channel
CLECT	14	11	cl02432	C-type lectin (CTL)/C-type lectin-like (CTLD) domain
CYCc	14	7	smart00044	Adenylyl- / guanylyl cyclase, catalytic domain
Collagen	14	12	pfam01391	Collagen triple helix repeat (20 copies)
DnaJ	14	10	cd06257	DnaJ domain or J-domain.  DnaJ/Hsp40 (heat shock protein 40) proteins are highly conserved and play crucial roles in protein translation, folding, unfolding, translocation, and degradation. They act primarily by stimulating the ATPase activity of Hsp70s
Glyco_transf_29	14	12	pfam00777	Glycosyltransferase family 29 (sialyltransferase)
LDLa	14	7	the receptor protein binds LDL and transports it into cells by endocytosis	Low Density Lipoprotein Receptor Class A domain, a cysteine-rich repeat that plays a central role in mammalian cholesterol metabolism
Pkinase_Tyr	14	10	pfam07714	Protein tyrosine kinase
AF-4	13	5	pfam05110	AF-4 proto-oncoprotein
Acs	13	6	COG0365	Acyl-coenzyme A synthetases/AMP-(fatty) acid ligases [Lipid metabolism]
COesterase	13	7	pfam00135	Carboxylesterase family
Cadherin_C	13	9	pfam01049	Cadherin cytoplasmic region
Esterase_lipase	13	7	cl12031	Esterases and lipases (includes fungal lipases, cholinesterases, etc.)  These enzymes act on carboxylic esters (EC: 3.1.1.-). The catalytic apparatus involves three residues (catalytic triad): a serine, a glutamate or aspartate and a histidine.These...
FA58C	13	7	Cell surface-attached carbohydrate-binding domain, present in eukaryotes and assumed to have horizontally transferred to eubacterial genomes	Coagulation factor 5/8 C-terminal domain, discoidin domain
