gene_name	n_syn	n_mis	n_non	n_spl	n_ind	wmis_cv	wnon_cv	wspl_cv	wind_cv	pmis_cv	ptrunc_cv	pallsubs_cv	pind_cv	qmis_cv	qtrunc_cv	qallsubs_cv	qind_cv	pglobal_cv	qglobal_cv
TP53	2	26	8	0	6	30.9768575414216	87.6842554081486	87.6842554081486	148.31170218722	0	1.97886151909188e-12	0	5.54147949653881e-08	0	1.26752676502898e-08	0	0.000532425350027449	0	0
KRAS	0	38	0	0	1	139.311016741821	0	0	51.5298153983816	0	0.771584411234402	0	0.0188297484574915	0	0.913072621131683	0	1	0	0
APC	0	9	41	0	11	2.56520362024531	97.0646000711956	97.0646000711956	37.6689473323612	0.0747584837720199	0	0	5.31921745480816e-06	0.77013080125566	0	0	0.0340713608705312	0	0
FBXW7	1	10	10	0	1	9.01893544327992	57.9945629606191	57.9945629606191	13.7558405512629	1.69212677758601e-05	7.4451556031363e-13	7.50510764646606e-14	0.065280326463946	0.054193180263488	7.15330550349336e-09	3.60545371336229e-10	1	1.66311409088848e-13	7.98960009262828e-10
SMAD4	0	14	1	0	1	19.1463089749818	12.5950361577327	12.5950361577327	17.6114558956494	5.9759375226065e-10	0.0791027034840488	2.52203691264441e-09	0.0521418282761328	3.82778718114688e-06	0.913072621131683	9.692692262675e-06	1	3.12347214759257e-09	1.20041281576277e-05
ZFP36L2	0	4	0	0	7	3.6085622622667	0	0	137.725142973856	0.0658749423322803	0.839134172981936	0.178890588597223	1.78355772698893e-08	0.77013080125566	0.913072621131683	0.949402934502231	0.000342728452818193	6.56088201544947e-08	0.000210123181348128
ARID2	3	0	4	0	4	0	12.1062048768532	12.1062048768532	21.2181592816865	0.0167784142782065	0.000786509103885891	6.15339045811902e-05	0.00195596985176293	0.77013080125566	0.913072621131683	0.0985362925360126	1	2.03800472942106e-06	0.00559461412579359
CD58	0	1	4	0	0	2.97878062133859	102.265929322643	102.265929322643	0	0.376367761839444	2.2565906288019e-07	1.341822731038e-06	1	0.77013080125566	0.00108406613807643	0.00429741093327104	1	1.94852541277601e-05	0.0422463937987732
PIK3CA	0	13	0	0	1	8.96315313242589	0	0	9.11050992543884	4.80908692646054e-06	0.473402354338748	1.45465292679114e-05	0.0937760479700533	0.0231028535947164	0.913072621131683	0.0399323009160266	1	1.97865083362281e-05	0.0422463937987732
ARID1A	2	2	5	0	2	0.528894776255615	17.7950258405638	17.7950258405638	8.52067813674026	0.39615354240086	3.81780250333641e-05	5.32583762654637e-05	0.0441495283365462	0.77013080125566	0.122271488173521	0.0930375416651955	1	3.28258400810189e-05	0.0630781342996858
OR7D2	0	3	1	0	2	7.17762352144383	59.3298970165443	59.3298970165443	62.2308952734449	0.0171322440696431	0.0140119584117412	0.00393668181114815	0.00146423468938818	0.77013080125566	0.913072621131683	0.949402934502231	1	7.53029251274739e-05	0.131547364477231
