gene_name	n_syn	n_mis	n_non	n_spl	n_ind	wmis_cv	wnon_cv	wspl_cv	wind_cv	pmis_cv	ptrunc_cv	pallsubs_cv	pind_cv	qmis_cv	qtrunc_cv	qallsubs_cv	qind_cv	pglobal_cv	qglobal_cv
TP53	1	22	8	0	3	36.4400971527542	117.875283129776	117.875283129776	190.286712240207	0	2.89879231729628e-13	0	1.0449542478656e-05	0	2.78515965845827e-09	0	0.106719178743724	0	0
KRAS	0	32	0	0	1	138.691860724056	0	0	132.227450833583	0	0.78636622939297	0	0.00747195308070557	0	0.921932594846965	0	1	0	0
APC	0	7	27	0	5	2.30939411250266	73.5859515053297	73.5859515053297	43.9363365111589	0.142264597867707	0	0	7.54841206796121e-05	0.754057164758681	0	0	0.241750477163238	0	0
FBXW7	1	7	7	0	1	7.4204585577775	47.4246505125654	47.4246505125654	35.2980059428632	0.000547356057295168	3.57016183283321e-09	1.1120149245869e-09	0.0271018496108288	0.754057164758681	2.2868076593241e-05	5.34211969771548e-06	1	7.60229879048779e-10	3.65214433895034e-06
SMAD4	0	10	0	0	0	16.2078682413658	0	0	0	2.27573596300879e-07	0.713384548432642	1.28564961832112e-06	1	0.00145768474217256	0.921932594846965	0.00494100861313171	1	1.87245178610018e-05	0.0719620670434022
SOX9	1	0	0	0	3	0	0	0	147.005812985572	0.181323175712249	0.766766615098105	0.39389952688631	2.20893451842589e-05	0.754057164758681	0.921932594846965	0.944733707419888	0.106719178743724	0.000110085481116684	0.352567100856367
ZFP36L2	0	2	0	0	3	2.190134019967	0	0	151.460534591195	0.375485542183267	0.848516958027003	0.660937649418558	2.0263848540253e-05	0.754057164758681	0.921932594846965	0.944733707419888	0.106719178743724	0.000163674460431418	0.449309775950018
SLC16A14	0	1	0	0	3	1.653049074746	0	0	146.718130376989	0.66312227245278	0.762465981166931	0.866259998653893	2.22146500299176e-05	0.802888215724506	0.921932594846965	0.944733707419888	0.106719178743724	0.000228197678932673	0.548130824796282
CTNNB1	1	5	1	0	2	4.63070191490562	7.64328555707776	7.64328555707776	63.915570863292	0.0167539741694093	0.136346885860076	0.0260856060395723	0.00141146676802732	0.754057164758681	0.921932594846965	0.944733707419888	1	0.000412722106542529	0.847389127187615
SMAD2	0	3	0	0	2	5.84794178996728	0	0	114.114101404325	0.0301532328534413	0.691898218237912	0.0852816160505848	0.000464307407188256	0.754057164758681	0.921932594846965	0.944733707419888	0.743510928044128	0.000440981019560582	0.847389127187615
KRTAP9-9	0	0	0	0	2	0	0	0	294.011625971143	0.587669349817022	0.900335197287157	0.856730585892574	7.26454624809243e-05	0.771563942252485	0.922222283080366	0.944733707419888	0.241750477163238	0.000664980725815112	0.999931669548502
DHRS4L2	0	1	0	0	2	3.49387985161775	0	0	214.514920236456	0.320083466138304	0.808546576748636	0.590174359693959	0.000135245222191449	0.754057164758681	0.921932594846965	0.944733707419888	0.32485902370386	0.00083296408863065	0.999931669548502
TCF7L2	1	2	1	0	2	2.47061390149101	10.7610886722107	10.7610886722107	104.784017641707	0.305346718094201	0.0932821834721548	0.163345071609762	0.000547683731248932	0.754057164758681	0.921932594846965	0.944733707419888	0.809560813821498	0.000923394385578091	0.999931669548502
PIK3CA	0	8	0	0	1	6.48211612183743	0	0	23.3779122615034	0.000875755892456587	0.505964474520593	0.00251709801888489	0.0400426267313291	0.754057164758681	0.921932594846965	0.944733707419888	1	0.00102831828780603	0.999931669548502
KRTAP5-4	0	0	0	0	2	0	0	0	218.26190574277	0.556880604489745	0.894298953187799	0.8343375873384	0.000130715805122506	0.760693264742244	0.921942755740224	0.944733707419888	0.32485902370386	0.00110409128730005	0.999931669548502
LRRC9	0	5	5	0	0	3.02965743162363	19.2802570371993	19.2802570371993	0	0.0831838963099369	3.85601622414633e-05	0.000140884588111234	1	0.754057164758681	0.18524301940799	0.451206374190913	1	0.0013901884684413	0.999931669548502
JUN	0	0	0	0	2	0	0	0	150.548121732212	0.318867947847338	0.881380894855633	0.602329745180539	0.000270768288844018	0.754057164758681	0.921932594846965	0.944733707419888	0.578120382047405	0.00158544752132839	0.999931669548502
TESPA1	0	5	0	0	1	7.94423334189622	0	0	47.8754563362973	0.00218102817522425	0.707672932713443	0.00809494846129955	0.0202111642487818	0.754057164758681	0.921932594846965	0.944733707419888	1	0.00158995153853703	0.999931669548502
MINDY4	0	6	0	0	1	6.9672392285333	0	0	32.9696414347588	0.00190535526030877	0.650554180779148	0.00669681624157292	0.0289277582244347	0.754057164758681	0.921932594846965	0.944733707419888	1	0.00184988420049925	0.999931669548502
ARID1A	1	1	4	0	0	0.353718499768017	18.4912301342389	18.4912301342389	0	0.275727227598338	0.00018925602405151	0.000206820050294487	1	0.754057164758681	0.519534822596258	0.530706571802345	1	0.00196141134117289	0.999931669548502
NPRL2	0	0	0	0	2	0	0	0	131.186289803397	0.353884252850487	0.736388669201589	0.617484670079236	0.000354141174432	0.754057164758681	0.921932594846965	0.944733707419888	0.680517680788531	0.00206166598677537	0.999931669548502
RBM46	0	3	3	0	0	4.80394475472207	36.8852449427664	36.8852449427664	0	0.0502171396267981	0.000141773359271347	0.000220943618568836	1	0.754057164758681	0.519534822596258	0.530706571802345	1	0.00208075928696327	0.999931669548502
PCBP1	0	4	0	0	1	8.15199553699733	0	0	70.0027680883674	0.00466732906964285	0.869923094557534	0.0178921412964594	0.013965116851617	0.754057164758681	0.921932594846965	0.944733707419888	1	0.00232239967692505	0.999931669548502
MFSD3	0	1	0	0	2	2.00067141722725	0	0	121.021734661245	0.556682611513977	0.850101181504861	0.825214754032998	0.000414263845767705	0.760693264742244	0.921932594846965	0.944733707419888	0.723681278206566	0.00307025517633608	0.999931669548502
CSMD3	2	14	0	0	2	2.98191520088259	0	0	13.479497415074	0.0129484081084368	0.279718067556447	0.0159725234881976	0.0221838245291725	0.754057164758681	0.921932594846965	0.944733707419888	1	0.00316959490306334	0.999931669548502
ARAP2	0	12	0	0	0	6.379554922208	0	0	0	0.00016680591729612	0.4520096061793	0.000424037934645294	1	0.534223751127041	0.921932594846965	0.82229634730367	1	0.00371698408186139	0.999931669548502
LUZP2	0	0	3	0	0	0	35.1483458184329	35.1483458184329	0	0.366854164141883	0.000164254152505761	0.000442130015465558	1	0.754057164758681	0.519534822596258	0.82229634730367	1	0.00385710094516845	0.999931669548502
OR51E2	1	0	1	0	1	0	50.0457856251068	50.0457856251068	77.8535458179039	0.360816491419157	0.0167379961703504	0.0353316098342165	0.0125852294514858	0.754057164758681	0.921932594846965	0.944733707419888	1	0.00387660742747775	0.999931669548502
KIF4B	1	11	0	0	0	6.47333159698918	0	0	0	0.000140945542818849	0.533912906700741	0.0004707150197929	1	0.534223751127041	0.921932594846965	0.82229634730367	1	0.00407698408996215	0.999931669548502
AGAP9	0	2	0	0	2	2.55624893456707	0	0	75.8451842414178	0.295580176293803	0.720157045251929	0.535877164025428	0.00101936230206679	0.754057164758681	0.921932594846965	0.944733707419888	1	0.00464993935319547	0.999931669548502
GNG12	0	1	0	0	1	13.1750435483112	0	0	342.342304212975	0.0754173880003564	0.882710315933874	0.203271979036435	0.00290739790900341	0.754057164758681	0.921932594846965	0.944733707419888	1	0.00498425792000734	0.999931669548502
OR4A15	0	5	0	0	0	14.233671727886	0	0	0	0.000160820930175998	0.819951290076305	0.000771377354149783	1	0.534223751127041	0.921932594846965	0.944733707419888	1	0.00630009561928924	0.999931669548502
KRTAP4-11	0	2	0	0	1	8.59259235929663	0	0	127.505041875241	0.0326086717838003	0.878155768307386	0.100406003052347	0.00774525437252657	0.754057164758681	0.921932594846965	0.944733707419888	1	0.00634517175418092	0.999931669548502
ZDHHC8	0	2	0	0	2	1.94421363486213	0	0	65.2506219518203	0.447389402525974	0.729187845947652	0.699316382795796	0.00135725149212302	0.754057164758681	0.921932594846965	0.944733707419888	1	0.00755516807308565	0.999931669548502
HEATR5B	0	0	0	0	2	0	0	0	24.1225754899104	0.0506930357538967	0.429077710084971	0.118739051628514	0.0083845849343719	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0078771970670527	0.999931669548502
MYO18B	0	12	1	0	1	4.28808636095631	3.40710307110294	3.40710307110294	9.73169322723799	0.00307311937102428	0.328526151875753	0.0113962574258178	0.0884149054327328	0.754057164758681	0.921932594846965	0.944733707419888	1	0.00796021866768426	0.999931669548502
RIT2	0	2	0	0	1	7.60488408046468	0	0	114.637560585079	0.041464358556512	0.794802444534629	0.119715060237723	0.00860262751552765	0.754057164758681	0.921932594846965	0.944733707419888	1	0.00811360741724565	0.999931669548502
ZNF781	0	2	2	0	0	5.44913769362551	52.3552257368988	52.3552257368988	0	0.0786354878421294	0.00078560539514061	0.00113767396360365	1	0.754057164758681	0.921932594846965	0.944733707419888	1	0.00884970351058967	0.999931669548502
CCL4	1	1	0	0	1	7.63206615792438	0	0	268.720303306959	0.136568086255959	0.880891506828385	0.326012188102327	0.00369921110800942	0.754057164758681	0.921932594846965	0.944733707419888	1	0.00931077682734183	0.999931669548502
ECT2L	2	4	2	0	1	2.78996266281117	9.48140813144917	9.48140813144917	27.6143516105494	0.121767882858448	0.0249270951485728	0.0355493605942651	0.0342327471858068	0.754057164758681	0.921932594846965	0.944733707419888	1	0.00938441267919488	0.999931669548502
RNF182	0	2	0	0	1	7.22418658283648	0	0	100.77011374011	0.0458345628883163	0.843266539195667	0.132748694699524	0.00976794072473565	0.754057164758681	0.921932594846965	0.944733707419888	1	0.00991695055925612	0.999931669548502
SPANXN4	1	1	0	0	1	6.49891520119581	0	0	249.909882075472	0.162972245988149	0.834273596929135	0.368644819773531	0.00397586813321626	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0110299018330818	0.999931669548502
